128        0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1      193.5401362   9  70
  1      193.5473328   7  50
  1      193.5487048   7  50
  1      193.5528530   2  51
  1      193.5536710   6  53
  1      193.5545153   4  52
  1      193.5545775   8  51
  1      193.5553370   6  52
  1      193.5555577   5  51
  1      193.5571357   5  50
  1      193.5573858   9  50
  1      193.5576982  10  51
  1      196.8096518   8  82
  1      196.8097760   7  67
  1      196.8098010   1  71
  1      196.8099628   2  62
  1      196.8100675   3  57
  1      196.8102870  10  69
* Gp# 1[8,7,1,2] x =    274.6, y =   -64.24, q = 0.9968 dT[   126,   273,   312] Src Amplitude = 82.0
*        196.8096518   8  82
*        196.8097760   7  67
*        196.8098010   1  71
*        196.8099628   2  62
  1      196.8103028   4  64
  1      196.8103255   5  64
  1      196.8104258   9  68
  1      196.8104388   6  65
  1      196.8199958   8  52
  1      196.8202365   2  50
  1      196.8230793   2  50
  1      196.8239718   1  52
  1      196.8239935   4  51
  1      196.8241378   6  52
  1      196.8241418   5  51
  1      196.8258110  10  51
  1      196.8270080   1  51
  1      196.8271850  10  50
  1      196.8281270   9  50
  1      200.4941160   8  80
  1      200.4942575   7  67
  1      200.4942828   1  68
  1      200.4944455   2  61
  1      200.4945503   3  60
  1      200.4947638  10  67
* Gp# 1[8,7,1,2] x =    290.2, y =   -65.88, q = 0.9987 dT[   123,   275,   307] Src Amplitude = 80.0
*        200.4941160   8  80
*        200.4942575   7  67
*        200.4942828   1  68
*        200.4944455   2  61
  1      200.4947995   4  62
  1      200.4948078   5  63
  1      200.4948613   9  65
  1      200.4949318   6  63
  1      200.4992318   7  51
* Gp# 1[4,9,5,10] x =    419.4, y =     2331, q = 0.4589 dT[   120,   139,   308] Src Amplitude = 62.0
*        200.4947995   4  62
*        200.4948613   9  65
*        200.4948078   5  63
*        200.4947638  10  67
  1      200.5012000   7  50
  1      200.5023237   2  50
  1      200.5050498   4  51
  1      200.5054320   8  50
  1      200.5061578   6  52
  1      200.5067137   5  53
  1      200.5080463   9  52
  1      200.5086257   6  51
  1      200.5086295   1  51
  1      200.5096020   5  51
  1      200.5099180  10  50
  1      200.5105608   1  50
  1      203.7481865   8  82
  1      203.7483288   7  67
  1      203.7483565   1  72
  1      203.7485153   2  63
  1      203.7486205   3  57
  1      203.7488045   5  63
* Gp# 1[8,7,1,2] x =    283.7, y =   -72.74, q = 1 dT[   125,   286,   311] Src Amplitude = 82.0
*        203.7481865   8  82
*        203.7483288   7  67
*        203.7483565   1  72
*        203.7485153   2  63
  1      203.7488360  10  70
  1      203.7488560   4  65
  1      203.7489028   6  65
  1      203.7489090   9  68
