128        0.0000000		Acquisition Running
* Gp# 1[2,5,6] x =    830.3, y =     1054, q = 0.9931 dT[   315,   473] Src Amplitude = 51.0
*         73.1945183   2  51
*         73.1948292   5  50
*         73.1949915   6  51
  1       73.1965378   5  51
  1       73.1975783   9  54
  1       73.1978003   5  50
  1       73.1980013  10  51
* Gp# 1[5,9,10] x =    358.9, y =     2404, q = 0.9931 dT[    80,   201] Src Amplitude = 50.0
*         73.1978003   5  50
*         73.1975783   9  54
*         73.1980013  10  51
  1       76.4391590   8  77
  1       76.4392225   1  83
  1       76.4392425   7  71
  1       76.4392587   2  76
  1       76.4394712   3  65
  1       76.4395115   5  73
* Gp# 1[8,1,7,2,3] x =    177.8, y =    171.7, q = 0.9803 dT[   107,   173,   180,   274] Src Amplitude = 77.0
*         76.4391590   8  77
*         76.4392225   1  83
*         76.4392425   7  71
*         76.4392587   2  76
*         76.4394712   3  65
  1       76.4395387   4  75
  1       76.4395900   6  72
  1       76.4396400  10  76
  1       76.4396810   9  80
  1       76.4454250   3  51
  1       76.4583300   2  53
  1       76.4629808   4  51
  1       76.4632367   5  52
  1       76.4632538   9  52
  1       76.4637017   6  50
  1       76.4647930   9  52
  1       76.4653658  10  51
  1       76.4654730   4  51
  1       76.4659157   1  50
  1       76.4669715   9  50
  1       76.4678440   1  50
  1       79.7890903   8  78
  1       79.7891558   1  83
  1       79.7891740   7  72
  1       79.7891898   2  76
  1       79.7894020   3  65
  1       79.7894420   5  73
* Gp# 1[8,1,7,2,3] x =      207, y =    170.4, q = 0.9941 dT[   107,   148,   180,   273] Src Amplitude = 78.0
*         79.7890903   8  78
*         79.7891558   1  83
*         79.7891740   7  72
*         79.7891898   2  76
*         79.7894020   3  65
  1       79.7894697   4  75
  1       79.7895210   6  73
  1       79.7895707  10  76
  1       79.7896165   9  80
  1       79.7953012   3  50
  1       79.8049325   7  52
  1       79.8086885   7  50
  1       79.8108663   2  50
  1       79.8115060   4  51
  1       79.8119900   8  50
  1       79.8129110   4  51
  1       79.8131448   5  50
  1       79.8145120   4  50
  1       79.8147240   9  52
  1       79.8149390   6  51
  1       79.8149390  10  52
  1       79.8168915   9  52
  1       79.8170233  10  51
  1       79.8185878   1  50
  1       83.4214367   8  77
  1       83.4215035   1  84
  1       83.4215230   7  70
  1       83.4215950   2  77
  1       83.4217525   3  64
  1       83.4218192   4  75
  1       83.4218355   5  72
* Gp# 1[8,1,7,2,3,4] x =    179.5, y =      172, q = 0.997 dT[   108,   172,   180,   275,   500] Src Amplitude = 77.0
*         83.4214367   8  77
*         83.4215035   1  84
*         83.4215230   7  70
*         83.4215950   2  77
*         83.4217525   3  64
*         83.4218192   4  75
  1       83.4219437   6  72
  1       83.4219700   9  81
  1       83.4219785  10  75
  1       83.4281510   3  52
  1       83.4390518   7  50
  1       83.4406443   7  51
  1       83.4419610   8  54
  1       83.4427288   2  51
  1       83.4432233   5  53
  1       83.4439443   8  51
  1       83.4455177   5  51
  1       83.4460660   9  53
  1       83.4467905  10  51
  1       83.4477540   4  50
  1       83.4481965   1  51
  1       83.4492475   9  51
  1       83.4493730  10  50
  1       83.4495645   1  51
  1       86.6812872   8  76
  1       86.6813533   1  82
  1       86.6813707   7  70
  1       86.6813905   2  75
  1       86.6815993   3  64
  1       86.6816398   5  71
* Gp# 1[8,1,7,2,3] x =    176.7, y =    173.1, q = 0.981 dT[   106,   173,   179,   273] Src Amplitude = 76.0
*         86.6812872   8  76
*         86.6813533   1  82
*         86.6813707   7  70
*         86.6813905   2  75
*         86.6815993   3  64
  1       86.6817223   6  71
  1       86.6817327   4  74
  1       86.6817685  10  75
  1       86.6818172   9  80
  1       86.6879985   3  50
  1       86.7006650   2  52
  1       86.7018080   8  52
  1       86.7031272   6  52
  1       86.7031588   5  51
  1       86.7042168  10  52
  1       86.7047695   4  52
  1       86.7048505   6  51
  1       86.7051220   9  50
  1       86.7065705   9  50
* Gp# 1[10,4,6] x =     1246, y =     2947, q = 0.328 dT[   266,   318] Src Amplitude = 52.0
*         86.7042168  10  52
*         86.7047695   4  52
*         86.7048505   6  51
  1       86.7075080  10  51
  1       86.7075978   1  50
  1       86.7090943   9  50
211       91.8449555		Time Mark
  1       94.2002650   1  53
  1       94.2015193   9  51
  1       94.2017315   1  53
  1       94.2027403  10  51
  1       94.2036397   1  52
  1       94.2066622   1  51
  1       94.2080747   9  50
  1       94.2119185   1  55
  1       94.2131933   9  52
  1       94.2133410  10  52
  1       94.2135080   5  50
  1       94.2139013   6  50
  1       94.2139130   2  51
  1       94.2149930   5  51
* Gp# 1[1,10,5,9] x =    622.8, y =     4297, q = 0.328 dT[   321,   473,   554] Src Amplitude = 55.0
*         94.2119185   1  55
*         94.2133410  10  52
*         94.2135080   5  50
*         94.2131933   9  52
  1       94.2151023   9  51
  1       94.2152272  10  53
  1       94.2170070   9  50
  1       94.2176322   1  51
  1       94.2194605  10  50
  1       95.6780572   8  83
  1       95.6781165   1  88
  1       95.6781185   7  76
  1       95.6781292   2  79
  1       95.6783727   3  67
  1       95.6783798   5  75
  1       95.6783958   4  78
  1       95.6784373   6  75
* Gp# 1[8,7,2,1,3,4,5] x =    468.5, y =      164, q = 0.998 dT[    58,    87,   100,   285,   459,   513] Src Amplitude = 83.0
*         95.6780572   8  83
*         95.6781185   7  76
*         95.6781292   2  79
*         95.6781165   1  88
*         95.6783727   3  67
*         95.6783958   4  78
*         95.6783798   5  75
  1       95.6785005   9  79
  1       95.6785137  10  79
  1       95.6861135   3  50
  1       95.6887275   3  50
  1       95.6970043   7  51
  1       95.6987010   7  50
  1       95.6998282   2  53
  1       95.7012015   8  52
  1       95.7031212   5  52
  1       95.7037897   8  50
  1       95.7049095   4  52
  1       95.7058562   6  50
  1       95.7061317   1  51
  1       99.2841112   8  82
  1       99.2841460   7  74
  1       99.2842245   1  87
  1       99.2842347   2  80
  1       99.2844270   3  67
  1       99.2844905   5  76
  1       99.2845055   4  77
  1       99.2845715   6  76
* Gp# 1[8,7,2,1,3,4,5] x =    427.3, y =    118.8, q = 0.8986 dT[    44,    68,    81,   312,   448,   699] Src Amplitude = 82.0
*         99.2841112   8  82
*         99.2841460   7  74
*         99.2842347   2  80
*         99.2842245   1  87
*         99.2844270   3  67
*         99.2845055   4  77
*         99.2844905   5  76
  1       99.2846145   9  80
  1       99.2846215  10  81
  1       99.2925087   3  51
  1       99.3033120   7  51
  1       99.3055887   7  51
  1       99.3067798   2  51
  1       99.3080540   2  51
  1       99.3087730   8  52
  1       99.3101260  10  52
  1       99.3103993   4  50
  1       99.3104480   6  51
  1       99.3114105   5  51
* Gp# 1[10,4,6] x =    157.5, y =     2767, q = 1 dT[    31,    84] Src Amplitude = 52.0
*         99.3101260  10  52
*         99.3103993   4  50
*         99.3104480   6  51
  1       99.3116420   9  50
  1       99.3116810   4  50
  1       99.3122250   6  51
  1       99.3128985   1  52
* Gp# 1[9,4,5] x =    751.8, y =     2727, q = 0.9996 dT[    39,    66] Src Amplitude = 50.0
*         99.3116420   9  50
*         99.3116810   4  50
*         99.3114105   5  51
  1       99.3131288   5  50
  1       99.3133900   9  51
  1       99.3144105   5  50
* Gp# 1[1,5,9] x =     1607, y =     4077, q = 0.9996 dT[   165,   427] Src Amplitude = 52.0
*         99.3128985   1  52
*         99.3131288   5  50
*         99.3133900   9  51
  1       99.3145215   1  51
  1       99.3155453  10  52
  1      102.6722840   8  78
  1      102.6723213   7  71
  1      102.6724115   1  84
  1      102.6724263   2  78
  1      102.6726115   3  65
  1      102.6726818   5  72
  1      102.6727113   4  74
  1      102.6727483   6  72
* Gp# 1[8,7,2,1,3,4,5] x =      405, y =    101.1, q = 0.9017 dT[    58,    81,    96,   327,   462,   714] Src Amplitude = 78.0
*        102.6722840   8  78
*        102.6723213   7  71
*        102.6724263   2  78
*        102.6724115   1  84
*        102.6726115   3  65
*        102.6727113   4  74
*        102.6726818   5  72
  1      102.6727958   9  77
  1      102.6727978  10  78
  1      102.6881625   7  51
  1      102.6944665   8  51
  1      102.6956508   1  52
  1      102.6957298   5  51
  1      102.6958818  10  53
  1      102.6960145   4  50
  1      102.6961465   6  53
  1      102.6967938   9  50
  1      102.6971858   1  51
* Gp# 1[1,10,4,5,6] x =      830, y =     1110, q = 0 dT[    47,   180,   199,   317] Src Amplitude = 52.0
*        102.6956508   1  52
*        102.6958818  10  53
*        102.6960145   4  50
*        102.6957298   5  51
*        102.6961465   6  53
  1      102.6985250   1  51
  1      102.6987043  10  51
  1      106.0258125   8  81
  1      106.0258525   7  75
  1      106.0258653   2  79
  1      106.0258708   1  85
  1      106.0260907   4  74
  1      106.0261203   5  74
  1      106.0261275   3  66
  1      106.0261950   6  73
  1      106.0262505   9  78
  1      106.0262538  10  81
* Gp# 1[8,7,2,1,3,4,5,9] x =    404.7, y =    94.51, q = 0.9366 dT[    59,    83,    96,   327,   463,   715,   762] Src Amplitude = 81.0
*        106.0258125   8  81
*        106.0258525   7  75
*        106.0258653   2  79
*        106.0258708   1  85
*        106.0261275   3  66
*        106.0260907   4  74
*        106.0261203   5  74
*        106.0262505   9  78
  1      106.0432945   7  50
  1      106.0488748   6  54
  1      106.0491223   4  50
  1      106.0504783   8  51
  1      106.0507135   9  54
  1      106.0507170   4  53
  1      106.0511365  10  51
  1      106.0517980   5  51
* Gp# 1[8,4,9,10] x =    159.7, y =    459.1, q = 0.8864 dT[   239,   602,   658] Src Amplitude = 51.0
*        106.0504783   8  51
*        106.0507170   4  53
*        106.0507135   9  54
*        106.0511365  10  51
  1      106.0521797   1  53
  1      106.0529118  10  50
  1      106.0562220   1  51
  1      106.0572510  10  50
  1      114.0093183   8  81
  1      114.0093553   7  73
  1      114.0094313   1  85
  1      114.0094417   2  79
  1      114.0096455   3  66
  1      114.0096970   5  74
  1      114.0097390   4  75
  1      114.0097780   6  73
  1      114.0098255   9  78
  1      114.0098315  10  79
* Gp# 1[8,7,2,1,3,4,5,9] x =    432.3, y =    112.8, q = 0.9343 dT[    44,    67,    81,   311,   448,   699,   746] Src Amplitude = 81.0
*        114.0093183   8  81
*        114.0093553   7  73
*        114.0094417   2  79
*        114.0094313   1  85
*        114.0096455   3  66
*        114.0097390   4  75
*        114.0096970   5  74
*        114.0098255   9  78
  1      114.0166265   3  50
  1      114.0301150   2  50
  1      114.0330480   4  52
  1      114.0339845   8  51
  1      114.0342203   9  55
  1      114.0351825   4  51
  1      114.0353332  10  51
  1      114.0355545   1  52
  1      114.0367873   4  51
  1      114.0381708   1  51
  1      114.0397280   1  51
211      118.3973325		Time Mark
  1      123.4874677   7  73
  1      123.4874915   8  80
  1      123.4875825   2  79
  1      123.4876255   1  83
  1      123.4877135   3  64
  1      123.4878478   5  73
  1      123.4878765   4  72
  1      123.4880195   6  72
* Gp# 1[7,2,8,1,3,5] x =    619.5, y =    84.84, q = 0.889 dT[    39,    44,   119,   343,   476] Src Amplitude = 73.0
*        123.4874677   7  73
*        123.4875825   2  79
*        123.4874915   8  80
*        123.4876255   1  83
*        123.4877135   3  64
*        123.4878478   5  73
  1      123.4880540   9  74
  1      123.4880725  10  78
  1      123.5041205   7  51
  1      123.5044042   2  55
  1      123.5075315   2  51
  1      123.5081720   8  50
  1      123.5085460   4  53
  1      123.5095800   5  53
  1      123.5103528   4  53
  1      123.5113853   6  51
  1      123.5118760   5  51
  1      123.5130340   9  50
  1      123.5133010   6  51
  1      123.5136343   1  52
  1      127.0734520   7  74
  1      127.0734760   8  81
  1      127.0735338   1  83
  1      127.0735650   2  79
  1      127.0736977   3  63
  1      127.0738115   5  73
  1      127.0738610   4  72
  1      127.0738903   6  73
* Gp# 1[7,2,8,1,3,5] x =    705.1, y =    190.6, q = 0.9937 dT[    35,    39,   119,   172,   476] Src Amplitude = 74.0
*        127.0734520   7  74
*        127.0735650   2  79
*        127.0734760   8  81
*        127.0735338   1  83
*        127.0736977   3  63
*        127.0738115   5  73
  1      127.0740015   9  74
  1      127.0740065  10  79
  1      127.0800645   3  50
  1      127.0931465   2  51
  1      127.0941560   8  51
  1      127.0963370   4  52
