128        0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH AMP
  1     1446.8635825   3  40
  1     1446.8665015   3  43
  1     1446.8669890   5  40
  1     1446.8679227   9  40
  1     1446.8698382   4  44
  1     1446.8703420   9  41
  1     1446.8703517  10  40
  1     1446.8705785   2  40
  1     1446.8706465   5  42
  1     1446.8745023   2  41
  1     1446.8752243   9  40
  1     1446.8754470   3  45
  1     1446.8757515   5  45
  1     1446.8763410   4  43
  1     1446.8771525   9  41
  1     1446.8799120   4  42
  1     1446.8803312   5  40
  1     1446.8810482   2  41
  1     1446.8818193   4  43
  1     1446.8818675   9  44
  1     1446.8822025   5  44
  1     1446.8826138  10  41
  1     1446.8831272   2  42
  1     1446.8846780  10  41
  1     1446.8852052   2  43
  1     1446.8869700  10  40
  1     1446.8915205  10  42
  1     1446.8948687   9  41
  1     1446.8967410   3  40
  1     1446.9010620   1  44
  1     1446.9022582   3  41
  1     1446.9026275   4  40
  1     1446.9055040   3  40
  1     1446.9063095   5  41
  1     1446.9081945   4  40
  1     1446.9100872   1  42
  1     1446.9153083   1  48
  1     1446.9154935   3  45
  1     1446.9155910   2  42
  1     1446.9162112  10  43
  1     1446.9162160   5  44
  1     1446.9163225   4  42
  1     1446.9167825   9  44
  1     1446.9199333   2  41
  1     1446.9238773   1  40
  1     1446.9257633   3  40
  1     1447.5546285   1  40
  1     1450.8658222   7  83
  1     1450.8658742   8  81
  1     1450.8659095   3  81
  1     1450.8659725   2  77
  1     1450.8659780   1  83
  1     1450.8661630   5  78
  1     1450.8661633   6  70
  1     1450.8662115   4  76
  1     1450.8663078  10  74
  1     1450.8663227   9  75
  1     1450.9000942   7  41
* Gp# 1[7,8,3,2,1,5,6,4] x =     1661, y =   -17.84 dT[    52,    87,   150,   156,   341,   341,   389] Src Amplitude = 83.0
*       1450.8658222   7  83
*       1450.8658742   8  81
*       1450.8659095   3  81
*       1450.8659725   2  77
*       1450.8659780   1  83
*       1450.8661630   5  78
*       1450.8661633   6  70
*       1450.8662115   4  76
  1     1450.9073905  10  40
  1     1450.9088338   9  41
  1     1450.9099907   1  40
  1     1450.9120780   1  40
  1     1457.5259002   7  87
  1     1457.5259523   8  83
  1     1457.5259885   3  83
  1     1457.5260515   2  80
  1     1457.5260570   1  84
  1     1457.5262395   6  73
  1     1457.5262423   5  76
  1     1457.5262910   4  78
  1     1457.5263868  10  78
  1     1457.5264023   9  79
  1     1457.5706478  10  41
* Gp# 1[7,8,3,2,1,6,5,4] x =     1661, y =   -18.68 dT[    52,    88,   151,   157,   339,   342,   391] Src Amplitude = 87.0
*       1457.5259002   7  87
*       1457.5259523   8  83
*       1457.5259885   3  83
*       1457.5260515   2  80
*       1457.5260570   1  84
*       1457.5262395   6  73
*       1457.5262423   5  76
*       1457.5262910   4  78
  1     1457.5723543   4  41
  1     1457.5752450   5  40
  1     1457.5755070   1  41
  1     1458.7183492   1  42
  1     1462.9252345   3  48
  1     1462.9256122   1  40
  1     1462.9280350   1  50
  1     1462.9293203   5  41
  1     1462.9301775   2  40
  1     1462.9310882   4  42
  1     1462.9331983   2  42
  1     1462.9332990   4  42
  1     1462.9336580   9  41
  1     1462.9339172   5  46
  1     1462.9361422  10  40
  1     1462.9376675   9  45
  1     1462.9382660  10  42
  1     1462.9384112   2  44
  1     1462.9386545   4  44
  1     1462.9408970  10  44
  1     1462.9430922   4  45
  1     1462.9506165   6  40
  1     1462.9519520   7  41
  1     1462.9539600   7  40
  1     1462.9618210   2  43
  1     1462.9641660   5  41
  1     1465.9791372   3  50
  1     1465.9793935   1  53
  1     1465.9808210   2  48
  1     1465.9808240   4  49
  1     1465.9809565   9  50
  1     1465.9809770   5  49
  1     1465.9813063  10  48
  1     1465.9814725   7  45
  1     1465.9831333   6  40
* Gp# 1[2,4,9,5] x =   0.2434, y =     1140 dT[     3,   136,   156] Src Amplitude = 48.0
*       1465.9808210   2  48
*       1465.9808240   4  49
*       1465.9809565   9  50
*       1465.9809770   5  49
  1     1465.9836093   8  43
  1     1465.9860295   6  42
  1     1465.9887362   8  42
  1     1465.9894105   6  42
  1     1465.9958115   8  43
  1     1465.9959325   6  43
  1     1465.9984700   6  41
  1     1466.0008340   6  41
  1     1466.0049222   6  40
  1     1466.0079005   6  43
  1     1466.0099890   6  42
  1     1466.0121775   8  43
  1     1466.0135415   6  41
  1     1466.0171212   6  41
  1     1466.0189925   8  43
  1     1466.0194273   6  41
  1     1466.0232472   8  41
  1     1466.0259085   6  41
  1     1466.0278540   8  40
  1     1466.0303310   6  40
  1     1466.0323135   7  42
  1     1466.0351913   8  40
  1     1466.0385535   8  40
  1     1466.0392115   6  40
  1     1466.0399010   7  41
  1     1466.0426602   7  41
